id,name,lat,lng
1250,Porajów,52.314376,20.962767
1251,Picassa,52.313344,20.958228
1253,Nowodwory,52.331651,20.941244
1254,Braci Zawadzkich,52.323906,20.969795
1255,Internetowa,52.322430,21.072006
1256,Myśliborska,52.317100,20.961898
1257,Pancera,52.318314,20.946588
1258,Bystra,52.294708,21.081454
1259,Chłodnia,52.299775,21.011773
1260,KS Polonez,52.299635,21.031082
1263,Cmentarz,52.414645,20.927009
1264,Orzechowa,52.418225,20.924110
1265,Gazownia,52.369113,21.028658
1266,Rembelszczyzna,52.377272,21.028998
1267,Aleksandrów,52.397018,21.034986
1268,Głogi,52.402229,21.037241
1269,Lipy,52.407105,21.038266
1270,Urząd Gminy,52.421795,21.035233
1271,os.Las,52.424249,21.033747
1272,PKP Nieporęt,52.430507,21.030433
1273,Port Nieporęt,52.434033,21.041469
1274,Port Pilawa,52.437848,21.046365
1275,al.Wojska Polskiego,52.440483,21.049771
1276,Białobrzegi,52.441068,21.056353
1277,Tarchomin,52.318172,20.952937
1278,Pomorska,52.326412,20.957209
1279,Krynoliny,52.290385,21.078017
1280,Jesiennych Liści,52.309484,21.061799
1281,Ostródzka,52.304725,21.051225
1283,Współczesna,52.307828,21.052006
1285,Krzemienna,52.313761,21.051351
1286,Juranda ze Spychowa,52.317293,21.050570
1287,Berensona,52.322027,21.049316
1288,Ostródzka-Szkoła,52.327411,21.048033
1289,Małych Dębów,52.330915,21.047151
1290,Mochtyńska-Kanał,52.347357,21.043053
1291,Aroniowa,52.351968,21.038766
1292,Szymanowskiego,52.262846,21.034588
1293,Kobiałka-Szkoła,52.361503,21.046325
1294,Ruskowy Bród,52.361224,21.052900
1295,Olesin,52.361693,21.061857
1296,Mochtyńska,52.357728,21.035482
1297,Przyleśna,52.384864,21.029733
1298,Stefanika,52.326887,20.940572
1299,Pańska,52.374390,20.927982
1300,Nieświeska,52.264207,21.077007
1301,PKP Targówek,52.262617,21.052620
1302,Urząd Miasta,52.394247,20.931618
1303,Kraśnicka,52.274372,21.066746
1304,Potulicka,52.286735,21.081865
1305,Okrzei,52.250880,21.035999
1306,Chotomów,52.411392,20.884965
1307,Piusa XI,52.410767,20.900263
1308,Kościuszki,52.410677,20.907245
1309,ks.Skorupki,52.403409,20.925636
1310,os.Jagiellońska,52.401830,20.927550
1311,CH Błękitne,52.397381,20.935127
1312,Ceramiczna,52.320627,20.968689
1313,Ćmielowska,52.323857,20.960501
1314,Kamińskiego,52.321356,20.956015
1315,Strumykowa,52.332163,20.946153
1316,Ćwiklińskiej,52.331880,20.951521
1317,Dąbrówka Wiślana,52.348532,20.942306
1318,Małego Rycerza,52.334074,21.047250
1319,Malborska,52.296310,21.054688
1320,Kościuszki,52.320517,21.093465
1321,Stokrotki,52.435380,21.023531
1323,Zegrze Płd.,52.452263,21.009999
1324,Dworkowa,52.371962,20.934343
1325,Leśna,52.375625,20.938039
1326,Skarbka z Gór,52.324689,21.054643
1327,Sosnkowskiego,52.295081,21.091481
1328,Hallera,52.294567,21.095645
1329,Wyspiańskiego,52.294738,21.103921
1331,Nauczycielska,52.321887,21.085203
1332,ks.Skorupki,52.288487,21.118208
1334,Sikorskiego,52.287194,21.120731
1335,Zieleniecka,52.284434,21.123857
1337,Pułaskiego,52.285289,21.134392
1339,Kupiecka,52.320264,21.012243
1340,Kołłątaja,52.288631,21.110946
1342,Waryńskiego,52.299998,21.151874
1343,Kolejowa,52.302772,21.158939
1344,Muzeum Zielonki,52.308077,21.155363
1345,pl.Jana Pawła II,52.310880,21.152548
1347,Zdziarska,52.341132,21.058951
1348,Jarzębinowa,52.345941,21.055773
1349,Mańkowska,52.349428,21.054395
1351,Tymotki,52.356456,21.052959
1352,Fabryczna,52.320082,21.102426
1353,Juranda ze Spychowa-Szkoła,52.317845,21.032545
1354,Echa Leśne,52.317783,21.035966
1355,Kamykowa,52.317720,21.041810
1357,os.Derby VI,52.321811,21.056939
1358,os.Derby III,52.318701,21.058223
1359,os.Derby,52.315782,21.059936
1360,Kąpielowa,52.448073,21.058585
1361,Wczasowa,52.452503,21.069211
1362,WDW Rynia,52.456514,21.074098
1363,OW Promenada,52.464738,21.075095
1364,Główna,52.471853,21.069501
1365,Rynia,52.474077,21.069834
1366,Aluzyjna,52.349392,20.946459
1367,os.Batorego,52.397057,20.937296
1368,Słowackiego,52.399669,20.941919
1370,Sielankowa,52.395090,20.937827
1371,Zegrzyńska,52.403431,20.948328
1372,os.Piaski,52.406264,20.951996
1373,al.Sybiraków,52.410371,20.951560
1374,Piaskowa,52.411847,20.947078
1375,PKP Legionowo Piaski,52.411999,20.939380
1376,Bandurskiego,52.414297,20.932460
1377,Cynkowa,52.414881,20.923199
1378,Szarych Szeregów,52.423805,20.933098
1379,Starostwo Powiatowe,52.421162,20.939224
1389,Sasina,52.345410,21.228862
1390,os.Nafta,52.350142,21.241631
1391,PKP Wołomin Słoneczna,52.355936,21.255888
1393,os.Niepodległości,52.351892,21.258697
1395,Legionów,52.346081,21.241458
1396,Wiejska,52.340766,21.242156
1400,Turów,52.315827,21.196236
1402,Ciołkosza,52.326640,20.936906
1403,Hanki Ordonówny,52.332408,20.935824
1404,Barei,52.336718,20.937517
1405,Dzierzgońska,52.339838,20.940166
1406,Grzymalitów,52.338645,20.943498
1408,Akademijna,52.376782,20.933111
1409,os.Przylesie,52.374443,20.933640
1411,Strużańska,52.404091,20.950368
1412,Krakusa,52.401030,20.954380
1413,Objazdowa,52.391095,20.981953
1414,Szkolna,52.384490,21.001298
1415,Kąty Węgierskie,52.387807,21.014327
1416,Anusinek,52.382030,21.020230
1417,gen.Roi,52.396490,20.959330
1418,os.Bukowiec,52.395028,20.955934
1420,Polna,52.399336,20.955642
1421,Tłuchowska,52.341258,20.940904
1422,Osiedle,52.345877,20.943443
1423,Zegrzyńska-IMGW,52.408633,20.954917
1424,Główna,52.353202,20.941079
1425,Chotomowska,52.381406,20.908226
1426,Cmentarz,52.386966,20.903686
1427,Kisielewskiego,52.397592,20.895257
1428,Jasna,52.402556,20.891250
1429,Odkryta,52.324678,20.937698
1430,Krzesiwa,52.279129,21.078103
1431,Diamentowa,52.280333,21.081649
1433,Stara,52.363812,21.160974
1434,Nadma,52.361874,21.166284
1435,Sękocin,52.359472,21.163721
1436,Poziomkowa,52.360233,21.153895
1437,Jaworówka,52.359985,21.146679
1438,Frachtowa,52.358794,21.038577
1439,Siwek,52.470250,21.090390
1440,Wolica,52.479133,21.094733
1441,Zegrzyńska,52.479675,21.102688
1442,Marcinki,52.480106,21.109342
1443,Załubice-Szkoła,52.481085,21.123875
1445,Załubice-Poczta,52.481548,21.131051
1446,Stare Załubice,52.480613,21.117084
1447,Ceglana,52.366190,21.140310
1449,Nowe Słupno,52.378221,21.150583
1450,Słupno,52.383562,21.155027
1451,Górki,52.391008,21.161226
1452,Cmentarz 1920 r.,52.399465,21.168178
1454,ks.Czartoryskiej,52.415140,21.178749
1455,Traugutta,52.417047,21.182115
1456,Norwida,52.415217,21.186681
1457,Korczaka,52.413803,21.192245
1458,os.Victoria,52.410167,21.201462
1463,os.Lewandów II,52.322267,21.074440
1464,Królewska,52.379336,20.918106
1468,Ratuszowa,52.256974,21.032532
1469,Świderska,52.310590,20.959363
1471,Brzezińska,52.351583,20.981196
1472,Geodezyjna,52.307736,21.079734
1473,Dzika,52.279184,21.124664
1474,Maczka,52.279838,21.130634
1475,Kosynierów,52.286055,21.130395
1476,Gajowa,52.287421,21.128866
1477,Kanał Bródnowski,52.284205,21.058211
1478,Protazego,52.414774,21.037890
1479,os.Bukowy Dworek,52.368492,20.941117
1481,pl.Ostrej Bramy,52.274953,21.083443
1482,PKP Zacisze-Wilno,52.277319,21.080409
1483,Chlubna,52.355019,20.952122
1486,Krokwi,52.334574,20.971444
